Time stamp,Hand palm positionX,Hand palm positionY,Hand palm positionZ,Palm normX,Palm normY,Palm normZ,Wrist PositionX,Wrist PositionY,Wrist PositionZ,Thumb TYPE_METACARPALX,Thumb TYPE_METACARPALY,Thumb TYPE_METACARPALZ,Thumb TYPE_PROXIMALX,Thumb TYPE_PROXIMALY,Thumb TYPE_PROXIMALZ,Thumb TYPE_INTERMEDIATEX,Thumb TYPE_INTERMEDIATEY,Thumb TYPE_INTERMEDIATEZ,Thumb TYPE_DISTALX,Thumb TYPE_DISTALY,Thumb TYPE_DISTALZ,Thumb TYPE_FINGERTIPX,Thumb TYPE_FINGERTIPY,Thumb TYPE_FINGERTIPZ,Index TYPE_METACARPALX,Index TYPE_METACARPALY,Index TYPE_METACARPALZ,Index TYPE_PROXIMALX,Index TYPE_PROXIMALY,Index TYPE_PROXIMALZ,Index TYPE_INTERMEDIATEX,Index TYPE_INTERMEDIATEY,Index TYPE_INTERMEDIATEZ,Index TYPE_DISTALX,Index TYPE_DISTALY,Index TYPE_DISTALZ,Index TYPE_FINGERTIPX,Index TYPE_FINGERTIPY,Index TYPE_FINGERTIPZ,Middle TYPE_METACARPALX,Middle TYPE_METACARPALY,Middle TYPE_METACARPALZ,Middle TYPE_PROXIMALX,Middle TYPE_PROXIMALY,Middle TYPE_PROXIMALZ,Middle TYPE_INTERMEDIATEX,Middle TYPE_INTERMEDIATEY,Middle TYPE_INTERMEDIATEZ,Middle TYPE_DISTALX,Middle TYPE_DISTALY,Middle TYPE_DISTALZ,Middle TYPE_FINGERTIPX,Middle TYPE_FINGERTIPY,Middle TYPE_FINGERTIPZ,Ring TYPE_METACARPALX,Ring TYPE_METACARPALY,Ring TYPE_METACARPALZ,Ring TYPE_PROXIMALX,Ring TYPE_PROXIMALY,Ring TYPE_PROXIMALZ,Ring TYPE_INTERMEDIATEX,Ring TYPE_INTERMEDIATEY,Ring TYPE_INTERMEDIATEZ,Ring TYPE_DISTALX,Ring TYPE_DISTALY,Ring TYPE_DISTALZ,Ring TYPE_FINGERTIPX,Ring TYPE_FINGERTIPY,Ring TYPE_FINGERTIPZ,Pinky TYPE_METACARPALX,Pinky TYPE_METACARPALY,Pinky TYPE_METACARPALZ,Pinky TYPE_PROXIMALX,Pinky TYPE_PROXIMALY,Pinky TYPE_PROXIMALZ,Pinky TYPE_INTERMEDIATEX,Pinky TYPE_INTERMEDIATEY,Pinky TYPE_INTERMEDIATEZ,Pinky TYPE_DISTALX,Pinky TYPE_DISTALY,Pinky TYPE_DISTALZ,Pinky TYPE_FINGERTIPX,Pinky TYPE_FINGERTIPY,Pinky TYPE_FINGERTIPZ
13,0,0,0,0,0,0,0.06467066705226898,0.04805631935596466,-0.031494140625,0,0,0,0.04057619348168373,0.051731083542108536,-0.0128173828125,0.01841047592461109,0.04304094240069389,0.0023193359375,-0.005168655887246132,0.033531494438648224,0.02655029296875,-0.02619120664894581,0.021748919039964676,0.039520263671875,0,0,0,-0.003946543205529451,0.01209847629070282,0.02484130859375,-0.018779629841446877,0.022418003529310226,0.0115509033203125,-0.01578832045197487,0.03824566304683685,0.00738525390625,-0.0005013477057218552,0.055989496409893036,0.00624847412109375,0,0,0,-0.00342678464949131,-0.0014715117868036032,0.010040283203125,-0.021834000945091248,0.01906757988035679,-0.0036487579345703125,-0.009313840419054031,0.042911283671855927,-0.01120758056640625,0.008417434990406036,0.052020035684108734,-0.01122283935546875,0,0,0,0.0025857684668153524,-0.009465880692005157,-0.016571044921875,-0.013347758911550045,0.01874450594186783,-0.0268707275390625,0.0031965691596269608,0.03589293360710144,-0.0277099609375,0.024645434692502022,0.03840431943535805,-0.027801513671875,0,0,0,0.00795240793377161,-0.002243248512968421,-0.03948974609375,-0.007043569814413786,0.012055284343659878,-0.04522705078125,0.0006781965494155884,0.024859797209501266,-0.046478271484375,0.014645660296082497,0.020521875470876694,-0.043060302734375
375
1612,0,0,0,0,0,0,-0.018669238314032555,0.08411258459091187,-0.0204315185546875,0,0,0,0.015891585499048233,0.06542699784040451,-0.0246429443359375,0.03964879736304283,0.04066290333867073,-0.0230865478515625,0.061179712414741516,0.01623518019914627,-0.01519012451171875,0.07599956542253494,-0.006188001483678818,-0.0010509490966796875,0,0,0,0.02583327889442444,0.0016744486056268215,0.00439453125,0.036391306668519974,-0.02144831418991089,-0.0009860992431640625,0.040604181587696075,-0.03978963568806648,-0.010345458984375,0.04521024972200394,-0.0509943924844265,-0.0389404296875,0,0,0,0.0015917102573439479,-0.0037993325386196375,0.00766754150390625,0.009310569614171982,-0.03400234505534172,-0.0051727294921875,0.013226684182882309,-0.048184286803007126,-0.0237579345703125,0.018236711621284485,-0.06470189988613129,-0.04541015625,0,0,0,-0.018614597618579865,-0.0022671984042972326,-0.00165557861328125,-0.014406179077923298,-0.027788132429122925,-0.0166015625,-0.011959699913859367,-0.04053259640932083,-0.034637451171875,-0.010699070990085602,-0.05176758021116257,-0.054046630859375,0,0,0,-0.03756002336740494,0.008557954803109169,-0.01351165771484375,-0.03496270626783371,-0.011854086071252823,-0.0185699462890625,-0.035528894513845444,-0.0261264406144619,-0.029449462890625,-0.03267844393849373,-0.037981294095516205,-0.041259765625
1662,0,0,0,0,0,0,-0.02761024609208107,0.08444534242153168,-0.0226593017578125,0,0,0,0.007521685212850571,0.06842725723981857,-0.0249176025390625,0.034273337572813034,0.043962664902210236,-0.0239715576171875,0.055978428572416306,0.02010638639330864,-0.0193328857421875,0.06995318084955215,0.0004593413323163986,-0.00788116455078125,0,0,0,0.026395710185170174,0.007674801163375378,0.0058135986328125,0.039976976811885834,-0.018168868497014046,-0.0022296905517578125,0.04671202972531319,-0.033563144505023956,-0.0160064697265625,0.05078241601586342,-0.04362817108631134,-0.050140380859375,0,0,0,0.002474429551512003,-0.0036087629850953817,0.00762176513671875,0.013377821072936058,-0.03365527093410492,-0.007595062255859375,0.018074851483106613,-0.04670732095837593,-0.031402587890625,0.02579520270228386,-0.05995728820562363,-0.05621337890625,0,0,0,-0.019345123320817947,-0.004945781081914902,-0.0027904510498046875,-0.012007955461740494,-0.029791858047246933,-0.016632080078125,-0.006285450421273708,-0.04359917342662811,-0.037445068359375,0.0014821160584688187,-0.05355467647314072,-0.057403564453125,0,0,0,-0.0393238365650177,0.002560477703809738,-0.0151214599609375,-0.03759516403079033,-0.016450343653559685,-0.0175628662109375,-0.03772802650928497,-0.030366260558366776,-0.02679443359375,-0.03298461064696312,-0.044549454003572464,-0.0400390625
1692,0,0,0,0,0,0,-0.022768283262848854,0.08662821352481842,-0.0220794677734375,0,0,0,0.011931277811527252,0.07039117068052292,-0.025177001953125,0.03805425018072128,0.04527243971824646,-0.0259857177734375,0.0578482449054718,0.020955918356776237,-0.0210418701171875,0.07278235256671906,-0.0009990986436605453,-0.0084686279296875,0,0,0,0.027253340929746628,0.005541172344237566,0.004669189453125,0.04148797690868378,-0.019593317061662674,-0.0021991729736328125,0.05080240219831467,-0.036374565213918686,-0.0164794921875,0.05934148654341698,-0.046211838722229004,-0.0469970703125,0,0,0,0.002179111586883664,-0.0045079137198626995,0.007762908935546875,0.013211432844400406,-0.0361124724149704,-0.007343292236328125,0.020700709894299507,-0.04999259114265442,-0.0303955078125,0.028387321159243584,-0.06295155733823776,-0.05804443359375,0,0,0,-0.019508102908730507,-0.0041643595322966576,-0.002056121826171875,-0.01343937311321497,-0.030857622623443604,-0.01806640625,-0.006258108653128147,-0.045553699135780334,-0.038330078125,0.0008526183664798737,-0.0546223521232605,-0.06036376953125,0,0,0,-0.03868953138589859,0.0044617848470807076,-0.0136260986328125,-0.03762351721525192,-0.015790008008480072,-0.018096923828125,-0.03717616945505142,-0.03151780366897583,-0.0287322998046875,-0.03076404705643654,-0.04498659819364548,-0.04156494140625
1728,0,0,0,0,0,0,-0.026069963350892067,0.08591468632221222,-0.021820068359375,0,0,0,0.010950842872262001,0.069155253469944,-0.0259246826171875,0.03672502562403679,0.045094043016433716,-0.0251007080078125,0.06003887206315994,0.02198161743581295,-0.0218505859375,0.07508131861686707,0.0016007628291845322,-0.0112762451171875,0,0,0,0.02779405564069748,0.0055898879654705524,0.00457000732421875,0.04161527752876282,-0.018258139491081238,-0.0026836395263671875,0.05040702968835831,-0.035418957471847534,-0.01483154296875,0.05817938596010208,-0.04622169956564903,-0.043487548828125,0,0,0,0.002298280829563737,-0.0036890581250190735,0.0077972412109375,0.01403856836259365,-0.035278353840112686,-0.006732940673828125,0.020559823140501976,-0.049463655799627304,-0.029693603515625,0.028210368007421494,-0.06355882436037064,-0.05615234375,0,0,0,-0.0201034564524889,-0.004544845782220364,-0.00211334228515625,-0.013034505769610405,-0.030523166060447693,-0.0173492431640625,-0.006240092217922211,-0.04454512894153595,-0.03692626953125,0.0008308375254273415,-0.05482841655611992,-0.056549072265625,0,0,0,-0.03979258984327316,0.0037445714697241783,-0.0133209228515625,-0.03803534433245659,-0.015771497040987015,-0.0181884765625,-0.036063894629478455,-0.031919002532958984,-0.0277252197265625,-0.030268069356679916,-0.043980568647384644,-0.039642333984375
1767,0,0,0,0,0,0,-0.02325829118490219,0.08675180375576019,-0.030426025390625,0,0,0,0.012147657573223114,0.06944163143634796,-0.0290374755859375,0.036083951592445374,0.04539570212364197,-0.0245819091796875,0.05615181475877762,0.02099144458770752,-0.0143585205078125,0.0725288838148117,0.0004381053149700165,-0.0016498565673828125,0,0,0,0.025538897141814232,0.006177140399813652,0.00676727294921875,0.03931987285614014,-0.018952568992972374,-0.0006680488586425781,0.04855296388268471,-0.034649431705474854,-0.0135040283203125,0.05450746417045593,-0.043476417660713196,-0.04345703125,0,0,0,0.0019012560369446874,-0.0038182237185537815,0.00788116455078125,0.01527688279747963,-0.03624750301241875,-0.0036468505859375,0.020997945219278336,-0.050682999193668365,-0.0272064208984375,0.029659610241651535,-0.0660390555858612,-0.0521240234375,0,0,0,-0.01874280348420143,-0.004758001305162907,-0.0037517547607421875,-0.012430418282747269,-0.0318477600812912,-0.0173492431640625,-0.003906529396772385,-0.04744252562522888,-0.0360107421875,0.006735947914421558,-0.05828187242150307,-0.05596923828125,0,0,0,-0.03722929581999779,0.002201853320002556,-0.0168914794921875,-0.03516191244125366,-0.01815812848508358,-0.01812744140625,-0.03493901714682579,-0.03519152104854584,-0.025390625,-0.027315570041537285,-0.04904339835047722,-0.0374755859375
1799,0,0,0,0,0,0,-0.025184350088238716,0.0882875844836235,-0.02398681640625,0,0,0,0.012103276327252388,0.07063556462526321,-0.0247650146484375,0.036894459277391434,0.045974694192409515,-0.0219573974609375,0.05830100551247597,0.021854370832443237,-0.0175018310546875,0.07247781753540039,0.0013861171901226044,-0.005413055419921875,0,0,0,0.026975877583026886,0.006108478177338839,0.0068511962890625,0.040685754269361496,-0.018184484913945198,0.00041484832763671875,0.04819327965378761,-0.03485071286559105,-0.012237548828125,0.05529407784342766,-0.046282894909381866,-0.04150390625,0,0,0,0.0019339337013661861,-0.0033899075351655483,0.007289886474609375,0.014487631618976593,-0.035820212215185165,-0.0056610107421875,0.020518723875284195,-0.05098877102136612,-0.028289794921875,0.029230404645204544,-0.06607819348573685,-0.054168701171875,0,0,0,-0.019432708621025085,-0.004745678044855595,-0.0037899017333984375,-0.012032181024551392,-0.03126312419772148,-0.0172576904296875,-0.00447209645062685,-0.04689297452569008,-0.036102294921875,0.0053474558517336845,-0.05995645746588707,-0.05560302734375,0,0,0,-0.03813331946730614,0.003978407010436058,-0.0159912109375,-0.03730951249599457,-0.015570884570479393,-0.01983642578125,-0.03635036200284958,-0.03440948203206062,-0.0272979736328125,-0.03001037985086441,-0.04911768436431885,-0.0372314453125
1834,0,0,0,0,0,0,-0.02419096603989601,0.08860652893781662,-0.0117950439453125,0,0,0,0.01311972551047802,0.07089836895465851,-0.0178070068359375,0.035554151982069016,0.049317460507154465,-0.02313232421875,0.052185337990522385,0.022852178663015366,-0.0280914306640625,0.06303007900714874,-0.0012281276285648346,-0.026519775390625,0,0,0,0.02697565406560898,0.005635473877191544,0.00377655029296875,0.04011635482311249,-0.021216031163930893,-0.005672454833984375,0.04581824690103531,-0.03849091753363609,-0.016387939453125,0.04996923357248306,-0.050655294209718704,-0.049041748046875,0,0,0,0.002570695709437132,-0.0039160968735814095,0.0072174072265625,0.012987815774977207,-0.03897912800312042,-0.004489898681640625,0.017798976972699165,-0.05761612579226494,-0.025482177734375,0.02580203488469124,-0.07641463726758957,-0.0467529296875,0,0,0,-0.019348269328475,-0.004990278277546167,-0.0018434524536132812,-0.01636357605457306,-0.033709436655044556,-0.0135040283203125,-0.013974109664559364,-0.052409615367650986,-0.0293731689453125,-0.0098488237708807,-0.0682559534907341,-0.04559326171875,0,0,0,-0.03861702233552933,0.003997285850346088,-0.0120849609375,-0.03915289044380188,-0.016759062185883522,-0.0134124755859375,-0.04043741524219513,-0.03912104666233063,-0.0210723876953125,-0.03577398881316185,-0.054177723824977875,-0.03192138671875
1867,0,0,0,0,0,0,-0.02646220289170742,0.08128834515810013,0.02386474609375,0,0,0,0.008153511211276054,0.06840483844280243,0.00995635986328125,0.03035561367869377,0.04835536330938339,-0.005908966064453125,0.048803508281707764,0.027715010568499565,-0.024505615234375,0.05875891447067261,0.004475749097764492,-0.033447265625,0,0,0,0.027172597125172615,0.005592264235019684,0.00201416015625,0.039331790059804916,-0.02495342120528221,-0.00991058349609375,0.04469927027821541,-0.041920505464076996,-0.0162811279296875,0.05049628019332886,-0.05981116741895676,-0.0457763671875,0,0,0,0.003175618126988411,-0.0035337076988071203,0.0052490234375,0.01483520120382309,-0.04125549644231796,-0.007404327392578125,0.018173782154917717,-0.06317346543073654,-0.0240631103515625,0.023601830005645752,-0.08397059142589569,-0.048095703125,0,0,0,-0.018075980246067047,-0.004838666412979364,-0.0008935928344726562,-0.013386690057814121,-0.03664327412843704,-0.01168060302734375,-0.012124323286116123,-0.0600598007440567,-0.0261993408203125,-0.009398017078638077,-0.07951772958040237,-0.041015625,0,0,0,-0.039391595870256424,0.004313689656555653,-0.005367279052734375,-0.037737563252449036,-0.020005706697702408,-0.008453369140625,-0.03586769849061966,-0.04147939383983612,-0.017059326171875,-0.032478854060173035,-0.05749966576695442,-0.0297698974609375
